time,q,x
14/11/2018 00:00,48.6004,45.0344
14/11/2018 00:03,50.6826,52.153
14/11/2018 00:06,51.3731,53.2841
14/11/2018 00:09,50.8351,53.5785
14/11/2018 00:12,50.1721,53.839897
14/11/2018 00:15,49.7104,53.6409
14/11/2018 00:18,49.4557,53.7224
14/11/2018 00:21,49.0871,53.7182
14/11/2018 00:24,48.8762,53.7914
14/11/2018 00:27,48.6801,53.739998
14/11/2018 00:30,48.5581,53.8801
14/11/2018 00:33,48.3933,53.9393
14/11/2018 00:36,48.049,53.8466
14/11/2018 00:39,47.8863,53.972298
14/11/2018 00:42,47.5018,53.8248
14/11/2018 00:45,47.6354,45.5243
14/11/2018 00:48,48.1113,44.86133
14/11/2018 00:51,49.1528,52.8511
14/11/2018 00:54,50.3242,53.3704
14/11/2018 00:57,50.3197,53.4622
14/11/2018 01:00,50.1607,53.417603
14/11/2018 01:03,50.0706,53.5002
14/11/2018 01:06,49.8037,53.4874
14/11/2018 01:09,49.4123,53.6227
14/11/2018 01:12,49.3228,53.527
14/11/2018 01:15,49.4369,53.7007
14/11/2018 01:18,49.7143,53.7369
14/11/2018 01:21,49.7998,53.807503
14/11/2018 01:24,49.9525,53.7567
14/11/2018 01:27,50.041,53.8499
14/11/2018 01:30,50.0002,53.903297
14/11/2018 01:33,50.5298,45.4181
14/11/2018 01:36,51.5836,45.2411
14/11/2018 01:39,54.3374,53.3359
14/11/2018 01:42,55.0498,54.156998
14/11/2018 01:45,54.726,54.0074
14/11/2018 01:48,54.1191,54.152397
14/11/2018 01:51,53.4468,54.1401
14/11/2018 01:54,53.0965,54.1621
14/11/2018 01:57,52.7021,54.2769
14/11/2018 02:00,52.4219,54.2696
14/11/2018 02:03,52.2101,54.3534
14/11/2018 02:06,52.0833,54.4281
14/11/2018 02:09,51.6727,54.4314
14/11/2018 02:12,51.4913,54.5094
14/11/2018 02:15,51.8144,45.9001
14/11/2018 02:18,52.5452,44.71479
14/11/2018 02:21,55.681,44.8139
14/11/2018 02:24,57.4545,54.2651
14/11/2018 02:27,57.3552,54.806297
14/11/2018 02:30,56.7781,54.7172
14/11/2018 02:33,56.1091,54.7409
14/11/2018 02:36,55.3307,54.8527
14/11/2018 02:39,54.5482,54.9843
14/11/2018 02:42,54.1243,55.0287
14/11/2018 02:45,53.6981,55.1067
14/11/2018 02:48,53.3681,55.290703
14/11/2018 02:51,52.9851,53.612
14/11/2018 02:54,53.3369,45.4294
14/11/2018 02:57,54.5508,44.67292
14/11/2018 03:00,56.6942,54.143402
14/11/2018 03:03,57.964,54.4119
14/11/2018 03:06,57.4581,54.7457
14/11/2018 03:09,56.3594,54.975098
14/11/2018 03:12,55.3949,54.9887
14/11/2018 03:15,54.643,55.1694
14/11/2018 03:18,53.956,55.136497
14/11/2018 03:21,53.5763,55.334
14/11/2018 03:24,53.3946,45.5811
14/11/2018 03:27,53.8669,44.9138
14/11/2018 03:30,55.316,55.086
14/11/2018 03:33,57.3541,55.384003
14/11/2018 03:36,57.9425,55.3046
14/11/2018 03:39,56.9272,55.5064
14/11/2018 03:42,55.5678,55.5807
14/11/2018 03:45,54.6905,55.7986
14/11/2018 03:48,53.9546,56.036697
14/11/2018 03:51,53.2836,56.0597
14/11/2018 03:54,52.898,55.989098
14/11/2018 03:57,52.4494,55.9103
14/11/2018 04:00,52.0564,48.0978
14/11/2018 04:03,52.3713,54.372902
14/11/2018 04:06,53.1639,55.5276
14/11/2018 04:09,53.8259,55.1884
14/11/2018 04:12,53.0584,55.454002
14/11/2018 04:15,52.0924,55.5722
14/11/2018 04:18,51.1632,55.5834
14/11/2018 04:21,50.4166,55.8981
14/11/2018 04:24,49.7501,55.8447
14/11/2018 04:27,49.3596,55.7414
14/11/2018 04:30,49.0536,55.8777
14/11/2018 04:33,48.6828,45.5892
14/11/2018 04:36,48.8255,44.92837
14/11/2018 04:39,49.9297,54.239
14/11/2018 04:42,51.3903,54.7318
14/11/2018 04:45,51.2366,54.6904
14/11/2018 04:48,50.4444,54.7672
14/11/2018 04:51,49.6638,54.857903
14/11/2018 04:54,48.8807,55.093002
14/11/2018 04:57,48.1574,55.2
14/11/2018 05:00,47.5491,55.236298
14/11/2018 05:03,47.0477,55.3765
14/11/2018 05:06,47.2566,46.2377
14/11/2018 05:09,48.2572,45.007202
14/11/2018 05:12,50.6846,44.81172
14/11/2018 05:15,54.1154,44.77495
14/11/2018 05:18,56.2238,44.67509
14/11/2018 05:21,57.3226,44.697098
14/11/2018 05:24,58.9061,44.80326
14/11/2018 05:27,60.8169,45.1506
14/11/2018 05:30,62.4848,44.83096
14/11/2018 05:33,64.5997,44.76686
14/11/2018 05:36,66.5727,44.86159
14/11/2018 05:39,68.544,44.91236
14/11/2018 05:42,69.5875,55.547
14/11/2018 05:45,69.7774,56.1659
14/11/2018 05:48,69.1142,55.7406
14/11/2018 05:51,68.0986,55.7563
14/11/2018 05:54,67.0486,56.5718
14/11/2018 05:57,66.6075,46.3371
14/11/2018 06:00,67.0303,45.1456
14/11/2018 06:03,72.0184,55.654602
14/11/2018 06:06,73.1353,56.6653
14/11/2018 06:09,71.7951,56.222603
14/11/2018 06:12,70.2058,56.745598
14/11/2018 06:15,68.2847,56.9665
14/11/2018 06:18,66.7668,57.263397
14/11/2018 06:21,65.5111,56.7246
14/11/2018 06:24,64.8891,56.9271
14/11/2018 06:27,64.836,46.1536
14/11/2018 06:30,65.7451,45.7984
14/11/2018 06:33,68.59,55.4601
14/11/2018 06:36,69.8151,56.691902
14/11/2018 06:39,69.1288,56.490402
14/11/2018 06:42,68.7289,45.655502
14/11/2018 06:45,68.3527,44.97124
14/11/2018 06:48,71.1284,54.378
14/11/2018 06:51,72.3784,56.9398
14/11/2018 06:54,71.579,56.616898
14/11/2018 06:57,70.0144,57.1726
14/11/2018 07:00,68.2658,57.3978
14/11/2018 07:03,66.9366,57.406
14/11/2018 07:06,65.8183,57.414803
14/11/2018 07:09,64.7823,57.6912
14/11/2018 07:12,63.9302,57.7686
14/11/2018 07:15,63.1088,57.5913
14/11/2018 07:18,62.2954,57.7657
14/11/2018 07:21,62.162,46.3035
14/11/2018 07:24,62.873,44.56241
14/11/2018 07:27,67.6845,55.801598
14/11/2018 07:30,69.0916,56.4328
14/11/2018 07:33,67.55,56.5923
14/11/2018 07:36,65.6007,57.119102
14/11/2018 07:39,63.5867,57.3937
14/11/2018 07:42,61.7258,57.665
14/11/2018 07:45,60.6119,57.6836
14/11/2018 07:48,59.8324,57.1883
14/11/2018 07:51,59.167,57.135597
14/11/2018 07:54,58.9123,57.201797
14/11/2018 07:57,58.6321,46.0235
14/11/2018 08:00,58.7556,45.431
14/11/2018 08:03,60.4909,54.8003
14/11/2018 08:06,63.157,55.253098
14/11/2018 08:09,63.3084,55.6047
14/11/2018 08:12,62.1378,56.0382
14/11/2018 08:15,60.8069,56.067802
14/11/2018 08:18,59.6495,56.097
14/11/2018 08:21,58.6338,56.5265
14/11/2018 08:24,58.1261,56.4678
14/11/2018 08:27,57.5401,56.6699
14/11/2018 08:30,56.8391,56.612198
14/11/2018 08:33,56.7294,44.602318
14/11/2018 08:36,57.1321,44.65094
14/11/2018 08:39,59.7735,46.9621
14/11/2018 08:42,62.5241,55.796303
14/11/2018 08:45,62.8569,56.5097
14/11/2018 08:48,61.8967,56.1988
14/11/2018 08:51,60.1974,44.74899
14/11/2018 08:54,59.7243,43.818268
14/11/2018 08:57,62.0106,54.551003
14/11/2018 09:00,64.8272,55.3841
14/11/2018 09:03,64.767,44.56372
14/11/2018 09:06,64.9945,43.33018
14/11/2018 09:09,67.1058,53.3469
14/11/2018 09:12,68.3443,58.272
14/11/2018 09:15,67.0135,60.2206
14/11/2018 09:18,65.9247,45.290398
14/11/2018 09:21,65.5208,44.17727
14/11/2018 09:24,68.726,43.39479
14/11/2018 09:27,70.8685,58.9355
14/11/2018 09:30,69.7993,60.3493
14/11/2018 09:33,67.1127,49.6828
14/11/2018 09:36,66.012,44.00679
14/11/2018 09:39,65.6348,50.1824
14/11/2018 09:42,69.9417,56.137
14/11/2018 09:45,70.4134,59.694298
14/11/2018 09:48,68.3097,60.3257
14/11/2018 09:51,66.0997,60.3599
14/11/2018 09:54,63.327,60.3599
14/11/2018 09:57,60.7865,60.3599
14/11/2018 10:00,58.4392,60.3599
14/11/2018 10:03,58.14,45.9183
14/11/2018 10:06,59.0575,47.4478
14/11/2018 10:09,63.6438,54.5825
14/11/2018 10:12,64.207,55.244102
14/11/2018 10:15,63.0823,55.1044
14/11/2018 10:18,63.7346,44.54575
14/11/2018 10:21,63.3663,55.2681
14/11/2018 10:24,62.8019,56.0648
14/11/2018 10:27,63.6057,44.52095
14/11/2018 10:30,63.007,55.3061
14/11/2018 10:33,62.6809,55.9119
14/11/2018 10:36,61.3821,56.2211
14/11/2018 10:39,60.4367,56.276
14/11/2018 10:42,59.6365,56.1735
14/11/2018 10:45,58.9546,56.1966
14/11/2018 10:48,58.2059,56.310303
14/11/2018 10:51,57.4456,56.321503
14/11/2018 10:54,57.9607,44.71661
14/11/2018 10:57,59.8156,54.8698
14/11/2018 11:00,60.7125,55.5919
14/11/2018 11:03,59.7529,55.9388
14/11/2018 11:06,58.7615,56.202103
14/11/2018 11:09,59.1546,44.461952
14/11/2018 11:12,61.1636,43.18884
14/11/2018 11:15,63.0135,54.8923
14/11/2018 11:18,62.7018,55.408
14/11/2018 11:21,61.5791,55.652702
14/11/2018 11:24,61.0353,49.5734
14/11/2018 11:27,62.8376,43.613518
14/11/2018 11:30,65.0867,54.8519
14/11/2018 11:33,64.4589,55.4991
14/11/2018 11:36,63.1641,55.6199
14/11/2018 11:39,62.516,44.48291
14/11/2018 11:42,63.5032,54.8406
14/11/2018 11:45,63.6895,55.7359
14/11/2018 11:48,62.6897,55.4733
14/11/2018 11:51,61.8219,48.279
14/11/2018 11:54,63.6886,43.43878
14/11/2018 11:57,65.0238,54.6566
14/11/2018 12:00,64.6075,55.6364
14/11/2018 12:03,63.5198,55.401802
14/11/2018 12:06,62.7107,56.0291
14/11/2018 12:09,63.5849,44.1487
14/11/2018 12:12,64.6045,57.0167
14/11/2018 12:15,63.5462,57.6112
14/11/2018 12:18,62.4225,57.2384
14/11/2018 12:21,61.1064,58.011803
14/11/2018 12:24,60.3073,45.7795
14/11/2018 12:27,62.4386,43.05788
14/11/2018 12:30,64.2393,56.7518
14/11/2018 12:33,63.4584,57.3414
14/11/2018 12:36,61.7979,57.216103
14/11/2018 12:39,60.6733,57.9429
14/11/2018 12:42,61.1089,44.26732
14/11/2018 12:45,63.3711,43.11711
14/11/2018 12:48,63.3048,56.7886
14/11/2018 12:51,61.9953,57.271202
14/11/2018 12:54,61.0756,57.7912
14/11/2018 12:57,60.331,57.9608
14/11/2018 13:00,62.1186,44.18462
14/11/2018 13:03,64.4482,42.88302
14/11/2018 13:06,66.3067,42.92026
14/11/2018 13:09,66.9519,56.5536
14/11/2018 13:12,65.9707,57.3022
14/11/2018 13:15,64.9397,57.1108
14/11/2018 13:18,63.417,57.9076
14/11/2018 13:21,62.4009,54.359802
14/11/2018 13:24,63.8966,43.82574
14/11/2018 13:27,65.0879,56.2925
14/11/2018 13:30,63.8143,57.7045
14/11/2018 13:33,62.3444,57.737602
14/11/2018 13:36,61.4205,57.8903
14/11/2018 13:39,60.876,51.4312
14/11/2018 13:42,62.6287,43.43755
14/11/2018 13:45,65.0091,42.68754
14/11/2018 13:48,64.9288,56.533897
14/11/2018 13:51,64.1795,57.3813
14/11/2018 13:54,63.2074,57.6142
14/11/2018 13:57,62.1691,57.7804
14/11/2018 14:00,62.7607,44.29676
14/11/2018 14:03,64.403,55.4758
14/11/2018 14:06,63.9457,57.7552
14/11/2018 14:09,62.3383,57.708298
14/11/2018 14:12,61.1391,57.7915
14/11/2018 14:15,59.9081,58.0075
14/11/2018 14:18,61.6401,44.05919
14/11/2018 14:21,63.8832,42.84783
14/11/2018 14:24,63.8555,56.5005
14/11/2018 14:27,62.6838,57.5312
14/11/2018 14:30,61.2696,57.8218
14/11/2018 14:33,59.872,57.8037
14/11/2018 14:36,58.5283,57.9059
14/11/2018 14:39,59.5679,44.21062
14/11/2018 14:42,61.1669,42.8649
14/11/2018 14:45,60.2394,56.6143
14/11/2018 14:48,58.807,57.418503
14/11/2018 14:51,57.6249,57.819702
14/11/2018 14:54,56.458,57.8301
14/11/2018 14:57,56.0998,44.17973
14/11/2018 15:00,57.9353,43.05653
14/11/2018 15:03,57.8931,56.4977
14/11/2018 15:06,56.505,57.9974
14/11/2018 15:09,55.2608,57.8914
14/11/2018 15:12,54.1919,57.929
14/11/2018 15:15,55.3476,44.34131
14/11/2018 15:18,56.7995,54.4927
14/11/2018 15:21,56.595,55.5295
14/11/2018 15:24,55.5395,55.6562
14/11/2018 15:27,54.9588,55.764603
14/11/2018 15:30,56.1231,44.1516
14/11/2018 15:33,57.9082,45.5675
14/11/2018 15:36,57.5228,54.7754
14/11/2018 15:39,57.0542,55.7887
14/11/2018 15:42,56.3556,55.817497
14/11/2018 15:45,55.6089,55.775497
14/11/2018 15:48,55.2394,55.8307
14/11/2018 15:51,54.6945,55.8179
14/11/2018 15:54,54.1428,55.8743
14/11/2018 15:57,54.7607,43.94377
14/11/2018 16:00,57.0265,42.41747
14/11/2018 16:03,58.7706,53.998398
14/11/2018 16:06,57.994,56.668198
14/11/2018 16:09,57.1745,56.5968
14/11/2018 16:12,56.5075,56.6026
14/11/2018 16:15,55.7259,56.571503
14/11/2018 16:18,54.9916,56.660698
14/11/2018 16:21,54.3088,56.815002
14/11/2018 16:24,53.5358,56.874397
14/11/2018 16:27,52.7631,56.8265
14/11/2018 16:30,52.0135,56.8593
14/11/2018 16:33,52.2993,45.4444
14/11/2018 16:36,54.4134,44.31568
14/11/2018 16:39,56.7426,44.40852
14/11/2018 16:42,58.4222,44.55782
14/11/2018 16:45,58.3851,55.7501
14/11/2018 16:48,57.7752,56.817497
14/11/2018 16:51,56.9312,56.675697
14/11/2018 16:54,56.1281,56.8023
14/11/2018 16:57,55.3956,56.896797
14/11/2018 17:00,54.7526,56.9048
14/11/2018 17:03,54.1133,56.8804
14/11/2018 17:06,53.601,50.4201
14/11/2018 17:09,54.7939,44.83187
14/11/2018 17:12,57.4079,55.2054
14/11/2018 17:15,57.3726,56.828102
14/11/2018 17:18,56.0929,56.7579
14/11/2018 17:21,55.1842,56.6248
14/11/2018 17:24,54.2278,56.8303
14/11/2018 17:27,53.6775,56.8905
14/11/2018 17:30,52.9199,57.0849
14/11/2018 17:33,52.1447,56.9571
14/11/2018 17:36,52.3609,45.5535
14/11/2018 17:39,54.6449,44.301758
14/11/2018 17:42,57.5846,44.73528
14/11/2018 17:45,58.834,44.52798
14/11/2018 17:48,59.6015,56.2866
14/11/2018 17:51,58.9964,57.1501
14/11/2018 17:54,57.8345,57.1694
14/11/2018 17:57,56.8937,57.1687
14/11/2018 18:00,56.0718,57.4053
14/11/2018 18:03,55.39,57.4205
14/11/2018 18:06,54.5862,57.4818
14/11/2018 18:09,53.8075,57.4283
14/11/2018 18:12,53.8468,45.4882
14/11/2018 18:15,55.5489,44.31285
14/11/2018 18:18,58.9105,44.545288
14/11/2018 18:21,60.1443,44.38049
14/11/2018 18:24,59.1468,57.0752
14/11/2018 18:27,58.2505,57.677902
14/11/2018 18:30,57.2151,58.0523
14/11/2018 18:33,56.103,58.1967
14/11/2018 18:36,55.0543,58.2321
14/11/2018 18:39,53.8389,58.2159
14/11/2018 18:42,52.8069,58.3105
14/11/2018 18:45,51.7582,58.409798
14/11/2018 18:48,50.9397,59.1202
14/11/2018 18:51,51.3467,45.816
14/11/2018 18:54,53.3094,44.795
14/11/2018 18:57,56.4077,54.5987
14/11/2018 19:00,55.8652,55.79
14/11/2018 19:03,54.742,55.6727
14/11/2018 19:06,53.9424,55.649498
14/11/2018 19:09,53.5531,55.6967
14/11/2018 19:12,52.9937,55.9684
14/11/2018 19:15,52.4021,55.9562
14/11/2018 19:18,51.9184,56.0499
14/11/2018 19:21,51.3923,55.9646
14/11/2018 19:24,50.7374,56.1507
14/11/2018 19:27,50.1613,56.1873
14/11/2018 19:30,50.7792,45.5035
14/11/2018 19:33,53.0637,44.60213
14/11/2018 19:36,55.7789,44.52018
14/11/2018 19:39,57.0717,44.39085
14/11/2018 19:42,56.5614,56.9553
14/11/2018 19:45,55.7433,57.789803
14/11/2018 19:48,54.4766,58.169502
14/11/2018 19:51,53.2913,58.2032
14/11/2018 19:54,51.9032,57.4263
14/11/2018 19:57,50.8188,57.7349
14/11/2018 20:00,49.9628,57.6922
14/11/2018 20:03,49.084,57.6855
14/11/2018 20:06,48.0318,57.8944
14/11/2018 20:09,47.4062,57.8857
14/11/2018 20:12,47.9847,45.6239
14/11/2018 20:15,50.3154,44.50478
14/11/2018 20:18,53.6325,44.39107
14/11/2018 20:21,55.0534,44.57119
14/11/2018 20:24,54.5599,56.370598
14/11/2018 20:27,54.0706,56.905197
14/11/2018 20:30,53.0176,57.3158
14/11/2018 20:33,51.9049,57.5132
14/11/2018 20:36,50.9258,57.5205
14/11/2018 20:39,50.0105,57.6541
14/11/2018 20:42,49.0944,57.675697
14/11/2018 20:45,48.1084,57.792603
14/11/2018 20:48,47.9562,45.8326
14/11/2018 20:51,48.6255,44.90628
14/11/2018 20:54,51.7372,52.513
14/11/2018 20:57,52.2308,53.5344
14/11/2018 21:00,50.9762,53.546402
14/11/2018 21:03,50.3645,53.7378
14/11/2018 21:06,49.8806,55.8804
14/11/2018 21:09,49.3398,56.2269
14/11/2018 21:12,48.4662,56.1873
14/11/2018 21:15,47.6047,56.119698
14/11/2018 21:18,48.4671,45.9833
14/11/2018 21:21,48.7964,56.1278
14/11/2018 21:24,49.1968,45.887
14/11/2018 21:27,50.5661,43.09339
14/11/2018 21:30,52.3385,44.12696
14/11/2018 21:33,51.7497,56.0119
14/11/2018 21:36,50.7732,56.7081
14/11/2018 21:39,49.441,57.0224
14/11/2018 21:42,48.5376,56.9327
14/11/2018 21:45,47.5919,56.8379
14/11/2018 21:48,46.6786,57.0489
14/11/2018 21:51,45.8891,57.0881
14/11/2018 21:54,45.0137,56.2094
14/11/2018 21:57,44.2236,56.1028
14/11/2018 22:00,43.4156,56.168503
14/11/2018 22:03,43.221,45.8807
14/11/2018 22:06,44.3844,44.62583
14/11/2018 22:09,46.991,44.3765
14/11/2018 22:12,48.7136,44.689728
14/11/2018 22:15,48.1001,54.9921
14/11/2018 22:18,47.2737,55.7798
14/11/2018 22:21,46.555,55.8204
14/11/2018 22:24,45.9428,55.839302
14/11/2018 22:27,45.1447,55.7097
14/11/2018 22:30,44.2162,56.0624
14/11/2018 22:33,43.7294,56.0405
14/11/2018 22:36,43.1918,56.2071
14/11/2018 22:39,42.6705,46.4339
14/11/2018 22:42,43.0025,45.0528
14/11/2018 22:45,44.55,44.46266
14/11/2018 22:48,47.8345,44.49818
14/11/2018 22:51,49.5419,45.0607
14/11/2018 22:54,50.5788,44.70907
14/11/2018 22:57,51.8391,53.6055
14/11/2018 23:00,51.5492,55.5477
14/11/2018 23:03,50.759,55.4702
14/11/2018 23:06,49.8423,55.4687
14/11/2018 23:09,49.4924,45.8315
14/11/2018 23:12,50.1782,44.97063
14/11/2018 23:15,53.5036,42.97489
14/11/2018 23:18,55.1926,55.004898
14/11/2018 23:21,54.5368,56.0867
14/11/2018 23:24,53.5567,55.799
14/11/2018 23:27,52.6515,56.2496
14/11/2018 23:30,52.9772,44.06316
14/11/2018 23:33,54.3665,55.635498
14/11/2018 23:36,55.0031,57.181
14/11/2018 23:39,53.8913,56.878
14/11/2018 23:42,52.4565,57.0823
14/11/2018 23:45,51.0298,57.3903
14/11/2018 23:48,51.168,45.953598
14/11/2018 23:51,52.1469,44.8348
14/11/2018 23:54,55.4236,44.76395
